mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
2.462,0.995,1.291,0.016,0.016,0.009,1.332,64.894,0.0
2.454,0.995,1.26,0.018,0.016,0.008,1.302,67.004,0.0
2.4,0.995,1.238,0.018,0.017,0.006,1.279,66.747,0.0
2.521,0.995,1.259,0.016,0.016,0.007,1.298,67.824,0.0
2.478,0.994,1.259,0.018,0.019,0.007,1.304,65.963,0.0
2.28,0.994,1.297,0.016,0.019,0.009,1.341,66.819,0.0
2.451,0.994,1.26,0.016,0.021,0.009,1.306,65.728,0.0
6.154,0.974,1.128,0.019,0.089,0.022,1.258,63.664,0.0
11.161,0.955,0.21,0.026,0.146,0.028,0.41,61.917,0.0
10.752,0.955,0.143,0.024,0.146,0.03,0.343,52.704,0.0
10.274,0.952,0.143,0.027,0.152,0.031,0.353,58.028,0.0
9.897,0.96,0.12,0.024,0.133,0.026,0.303,61.681,0.0
10.187,0.961,0.129,0.022,0.122,0.025,0.299,62.142,0.0
10.497,0.961,0.127,0.025,0.12,0.022,0.294,61.412,0.0
10.234,0.96,0.108,0.024,0.124,0.027,0.283,61.36,0.0
9.703,0.96,0.113,0.023,0.128,0.025,0.289,62.394,0.0
10.211,0.967,0.115,0.02,0.102,0.021,0.258,52.967,0.0
10.378,0.967,0.103,0.023,0.104,0.022,0.251,53.084,0.0
10.285,0.966,0.11,0.023,0.113,0.02,0.265,59.413,0.0
9.973,0.965,0.101,0.022,0.112,0.024,0.26,60.862,0.0
9.861,0.965,0.09,0.022,0.104,0.022,0.238,61.835,0.0
9.576,0.973,0.102,0.021,0.085,0.019,0.226,62.461,0.0
9.369,0.971,0.067,0.022,0.093,0.019,0.201,55.562,0.0
9.652,0.972,0.103,0.022,0.092,0.02,0.236,55.164,0.0
9.389,0.97,0.086,0.021,0.092,0.021,0.221,55.7,0.0
9.132,0.974,0.072,0.021,0.085,0.019,0.197,54.716,0.0
9.305,0.975,0.08,0.023,0.079,0.017,0.199,55.181,0.0
9.464,0.977,0.072,0.019,0.074,0.017,0.182,54.92,0.0
9.806,0.971,0.069,0.02,0.086,0.018,0.194,55.464,0.0
9.52,0.973,0.08,0.022,0.082,0.018,0.201,52.935,0.0
9.572,0.976,0.077,0.02,0.079,0.017,0.193,53.171,0.0
9.345,0.978,0.072,0.02,0.07,0.016,0.178,53.692,0.0
9.316,0.975,0.066,0.02,0.075,0.016,0.178,52.638,0.0
9.594,0.978,0.064,0.02,0.068,0.018,0.17,52.114,0.0
9.256,0.974,0.065,0.02,0.076,0.016,0.178,54.027,0.0
9.517,0.979,0.059,0.019,0.065,0.016,0.159,59.908,0.0
9.124,0.978,0.069,0.02,0.069,0.014,0.172,59.895,0.0
9.287,0.976,0.058,0.018,0.07,0.014,0.16,59.207,0.0
9.055,0.979,0.087,0.022,0.067,0.015,0.191,54.084,0.0
9.286,0.979,0.056,0.018,0.064,0.014,0.153,52.221,0.0
